AudioFile,Text,Voice,ActivityType,Set,IssueType,Severity,DateFlagged,Status,RegenerationNotes
see.mp3,...see...,female,words,Set 4: Ling Sounds Emphasis,unclear_pronunciation,medium,2025-06-16T03:02:08.445Z,flagged,
chew.mp3,...chew...,female,words,Set 4: Ling Sounds Emphasis,cut_off,medium,2025-06-16T03:02:52.676Z,flagged,
moon.mp3,...moon...,female,words,Set 4: Ling Sounds Emphasis,cut_off,medium,2025-06-16T03:03:19.274Z,flagged,
food.mp3,...food...,female,words,Set 4: Ling Sounds Emphasis,cut_off,medium,2025-06-16T03:04:05.225Z,flagged,
talk.mp3,...talk...,female,words,Set 5: Place of Articulation,volume_inconsistent,medium,2025-06-16T03:04:31.024Z,flagged,
tea.mp3,...tea...,female,words,Set 5: Place of Articulation,background_noise,medium,2025-06-16T03:04:58.623Z,flagged,
dog.mp3,...dog...,female,words,Set 5: Place of Articulation,background_noise,medium,2025-06-16T03:05:16.959Z,flagged,
vie.mp3,...vie...,female,words,Set 6: Manner of Articulation,wrong_emphasis,medium,2025-06-16T03:06:12.265Z,flagged,
torn.mp3,...torn...,female,words,Set 6: Manner of Articulation,unclear_pronunciation,medium,2025-06-16T03:06:49.663Z,flagged,
vase.mp3,...vase...,female,words,Set 6: Manner of Articulation,wrong_emphasis,medium,2025-06-16T03:07:24.878Z,flagged,
vote.mp3,...vote...,female,words,Set 6: Manner of Articulation,wrong_emphasis,medium,2025-06-16T03:07:43.228Z,flagged,
vote.mp3,...vote...,female,words,Set 6: Manner of Articulation,wrong_emphasis,medium,2025-06-16T03:07:53.860Z,flagged,
lag.mp3,...lag...,female,words,Set 7: Word Initial Clusters,unclear_pronunciation,medium,2025-06-16T03:08:27.176Z,flagged,
crab.mp3,...crab...,female,words,Set 7: Word Initial Clusters,too_fast,medium,2025-06-16T03:08:41.060Z,flagged,
spot.mp3,...spot...,female,words,Set 7: Word Initial Clusters,background_noise,medium,2025-06-16T03:08:58.063Z,flagged,
pill.mp3,...pill...,female,words,Set 7: Word Initial Clusters,unclear_pronunciation,medium,2025-06-16T03:09:25.664Z,flagged,
send.mp3,...send...,female,words,Set 8: Word Final Clusters,cut_off,medium,2025-06-16T03:10:02.526Z,flagged,
sof.mp3,...sof...,female,words,Set 8: Word Final Clusters,cut_off,medium,2025-06-16T03:10:14.145Z,flagged,
lam.mp3,...lam...,female,words,Set 8: Word Final Clusters,cut_off,medium,2025-06-16T03:10:24.461Z,flagged,
fast.mp3,...fast...,female,words,Set 8: Word Final Clusters,background_noise,medium,2025-06-16T03:11:09.815Z,flagged,
hep.mp3,...hep...,female,words,Set 8: Word Final Clusters,background_noise,medium,2025-06-16T03:11:19.428Z,flagged,
water.mp3,...water...,female,words,Set 9: Multi-Syllabic Simple,background_noise,medium,2025-06-16T03:11:41.044Z,flagged,
banana.mp3,...banana...,female,words,Set 10: Multi-Syllabic Complex,background_noise,medium,2025-06-16T03:12:40.127Z,flagged,
commuter.mp3,...commuter...,female,words,Set 10: Multi-Syllabic Complex,background_noise,medium,2025-06-16T03:12:48.443Z,flagged,
location.mp3,...location...,female,words,Set 10: Multi-Syllabic Complex,background_noise,medium,2025-06-16T03:13:04.547Z,flagged,
underhand.mp3,...underhand...,female,words,Set 10: Multi-Syllabic Complex,background_noise,medium,2025-06-16T03:13:09.412Z,flagged,
ester-day.mp3,...ester-day...,female,words,Set 10: Multi-Syllabic Complex,cut_off,medium,2025-06-16T03:13:29.058Z,flagged,
tie.mp3,...tie...,female,words,Set 1: Voicing Contrast,wrong_emphasis,medium,2025-06-16T03:14:01.876Z,flagged,
fan.mp3,...fan...,female,words,Set 1: Voicing Contrast,unclear_pronunciation,medium,2025-06-16T03:14:24.067Z,flagged,
tan.mp3,...tan...,female,words,Set 1: Voicing Contrast,wrong_emphasis,medium,2025-06-16T03:14:33.247Z,flagged,
goat.mp3,...goat...,female,words,Set 1: Voicing Contrast,cut_off,medium,2025-06-16T03:14:44.678Z,flagged,
pea.mp3,...pea...,female,words,Set 1: Voicing Contrast,background_noise,medium,2025-06-16T03:14:57.814Z,flagged,
chew.mp3,...chew...,female,words,Set 1: Voicing Contrast,cut_off,medium,2025-06-16T03:15:09.963Z,flagged,
zeal.mp3,...zeal...,female,words,Set 1: Voicing Contrast,volume_inconsistent,medium,2025-06-16T03:15:27.345Z,flagged,
rip.mp3,...rip...,female,words,Set 1: Voicing Contrast,robotic_voice,medium,2025-06-16T03:15:36.578Z,flagged,
cap.mp3,...cap...,female,words,Set 1: Voicing Contrast,cut_off,medium,2025-06-16T03:15:46.961Z,flagged,
buy.mp3,...buy...,female,words,Set 2: Nasal Contrast,cut_off,medium,2025-06-16T03:16:43.858Z,flagged,
bap.mp3,...bap...,female,words,Set 2: Nasal Contrast,too_fast,medium,2025-06-16T03:16:59.480Z,flagged,
pop.mp3,...pop...,female,words,Set 2: Nasal Contrast,background_noise,medium,2025-06-16T03:17:07.475Z,flagged,
sun.mp3,...sun...,female,words,Set 2: Nasal Contrast,background_noise,medium,2025-06-16T03:17:22.563Z,flagged,
dale.mp3,...dale...,female,words,Set 2: Nasal Contrast,too_fast,medium,2025-06-16T03:17:37.490Z,flagged,
sum.mp3,...sum...,female,words,Set 2: Nasal Contrast,background_noise,medium,2025-06-16T03:17:49.129Z,flagged,
say.mp3,...say...,female,words,Set 3: Vowel Height,cut_off,medium,2025-06-16T03:18:06.590Z,flagged,
seat.mp3,...seat...,female,words,Set 3: Vowel Height,volume_inconsistent,medium,2025-06-16T03:18:16.994Z,flagged,
pick.mp3,...pick...,female,words,Set 3: Vowel Height,background_noise,medium,2025-06-16T03:18:26.244Z,flagged,
beat.mp3,...beat...,female,words,Set 3: Vowel Height,background_noise,medium,2025-06-16T03:18:49.246Z,flagged,
seat.mp3,...seat...,female,words,Set 4: Ling Sounds Emphasis,volume_inconsistent,medium,2025-06-16T03:19:36.825Z,flagged,
feud.mp3,...feud...,female,words,Set 4: Ling Sounds Emphasis,cut_off,medium,2025-06-16T03:20:14.614Z,flagged,
moon.mp3,...moon...,female,words,Set 4: Ling Sounds Emphasis,cut_off,medium,2025-06-16T03:20:26.884Z,flagged,
tea.mp3,...tea...,female,words,Set 5: Place of Articulation,background_noise,medium,2025-06-16T03:20:45.279Z,flagged,
gate.mp3,...gate...,female,words,Set 5: Place of Articulation,cut_off,medium,2025-06-16T03:20:55.863Z,flagged,
dog.mp3,...dog...,female,words,Set 5: Place of Articulation,background_noise,medium,2025-06-16T03:21:06.141Z,flagged,
tape.mp3,...tape...,female,words,Set 5: Place of Articulation,background_noise,medium,2025-06-16T03:21:19.173Z,flagged,
dime.mp3,...dime...,female,words,Set 5: Place of Articulation,robotic_voice,medium,2025-06-16T03:21:30.858Z,flagged,
calk.mp3,...calk...,female,words,Set 5: Place of Articulation,wrong_emphasis,medium,2025-06-16T03:21:54.776Z,flagged,