Set,Sentence1,Sentence2
Set 11: Simple Minimal Pairs,...The cat is on the mat...,...The bat is on the mat...
Set 11: Simple Minimal Pairs,...He will show the boat...,...He will show the goat...
Set 11: Simple Minimal Pairs,...She has a new cap...,...She has a new cab...
Set 11: Simple Minimal Pairs,...Please see the fan...,...Please see the van...
Set 11: Simple Minimal Pairs,...Did you get the mail...,...Did you get the nail...
Set 11: Simple Minimal Pairs,...The car is very fast...,...The star is very fast...
Set 11: Simple Minimal Pairs,...He needs a new pen...,...He needs a new pin...
Set 11: Simple Minimal Pairs,...She bought a new book...,...She bought a new hook...
Set 11: Simple Minimal Pairs,...I see a big pig...,...I see a big fig...
Set 11: Simple Minimal Pairs,...Look at the tall tree...,...Look at the tall key...
Set 12: Different Verbs,...The dog is running...,...The dog is jumping...
Set 12: Different Verbs,...She likes to read...,...She likes to write...
Set 12: Different Verbs,...He can cook the fish...,...He can clean the fish...
Set 12: Different Verbs,...They will watch a movie...,...They will make a movie...
Set 12: Different Verbs,...The baby started to cry...,...The baby started to laugh...
Set 12: Different Verbs,...Please open the door...,...Please close the door...
Set 12: Different Verbs,...He is eating the apple...,...He is peeling the apple...
Set 12: Different Verbs,...She can hear the music...,...She can feel the music...
Set 12: Different Verbs,...They want to play...,...They want to stay...
Set 12: Different Verbs,...The man will walk...,...The man will work...
Set 13: Different Nouns,...He is walking the dog...,...He is walking the hog...
Set 13: Different Nouns,...She is holding a cup...,...She is holding a pup...
Set 13: Different Nouns,...I need to buy some bread...,...I need to buy some thread...
Set 13: Different Nouns,...The key is on the table...,...The tea is on the table...
Set 13: Different Nouns,...He is driving a blue car...,...He is driving a blue bar...
Set 13: Different Nouns,...She lost her new phone...,...She lost her new home...
Set 13: Different Nouns,...He sat on the chair...,...He sat on the stair...
Set 13: Different Nouns,...I see the big moon...,...I see the big spoon...
Set 13: Different Nouns,...The ball is in the box...,...The doll is in the box...
Set 13: Different Nouns,...The mouse is in the house...,...The mouse is on the blouse...
Set 14: Prepositions,...The book is on the table...,...The book is under the table...
Set 14: Prepositions,...He is walking to the store...,...He is walking from the store...
Set 14: Prepositions,...The cat is in the box...,...The cat is on the box...
Set 14: Prepositions,...She stood before the judge...,...She stood behind the judge...
Set 14: Prepositions,...The bird flew over the house...,...The bird flew around the house...
Set 14: Prepositions,...He is between the two trees...,...He is beside the two trees...
Set 14: Prepositions,...The keys are near the phone...,...The keys are in the phone...
Set 14: Prepositions,...They live across the street...,...They live down the street...
Set 14: Prepositions,...The picture is above the sofa...,...The picture is on the sofa...
Set 14: Prepositions,...She walked through the door...,...She walked to the door...
Set 15: Questions vs. Statements,...Are they going to the party...,...They are going to the party...
Set 15: Questions vs. Statements,...Did he finish his homework...,...He did finish his homework...
Set 15: Questions vs. Statements,...Is she the team captain...,...She is the team captain...
Set 15: Questions vs. Statements,...Can you help me with this...,...You can help me with this...
Set 15: Questions vs. Statements,...Will it rain tomorrow...,...It will rain tomorrow...
Set 15: Questions vs. Statements,...Have you seen my keys...,...You have seen my keys...
Set 15: Questions vs. Statements,...Does he play the guitar...,...He does play the guitar...
Set 15: Questions vs. Statements,...Are we there yet...,...We are there now...
Set 15: Questions vs. Statements,...Should I call them back...,...You should call them back...
Set 15: Questions vs. Statements,...Is the store still open...,...The store is still open...
Set 16: Different Adjectives,...He has a big dog...,...He has a bad dog...
Set 16: Different Adjectives,...The new car is red...,...The new car is fast...
Set 16: Different Adjectives,...She wore a long dress...,...She wore a wrong dress...
Set 16: Different Adjectives,...That was a funny joke...,...That was a sunny joke...
Set 16: Different Adjectives,...The tall man is my uncle...,...The bald man is my uncle...
Set 16: Different Adjectives,...It is a cold day...,...It is a gold day...
Set 16: Different Adjectives,...The coffee is too hot...,...The coffee is too loud...
Set 16: Different Adjectives,...The baby is very cute...,...The baby is very quiet...
Set 16: Different Adjectives,...The test was quite hard...,...The test was quite long...
Set 16: Different Adjectives,...The old house is empty...,...The old mouse is empty...
Set 17: Numbers,...I need three of those...,...I need free of those...
Set 17: Numbers,...She is eight years old...,...She is late for school...
Set 17: Numbers,...There are five birds...,...There are live birds...
Set 17: Numbers,...He has two cats...,...He has new cats...
Set 17: Numbers,...We have ten minutes...,...We have then minutes...
Set 17: Numbers,...She bought four apples...,...She bought more apples...
Set 17: Numbers,...I can see one boat...,...I can see one goat...
Set 17: Numbers,...He ate six cookies...,...He ate sick cookies...
Set 17: Numbers,...There are seven days in a week...,...There are several days in a week...
Set 17: Numbers,...I need nine dollars...,...I need new dollars...
Set 18: Similar Sounding Sentences,...The mail is late today...,...The male is late today...
Set 18: Similar Sounding Sentences,...I can't hear the speaker...,...I can't see the speaker...
Set 18: Similar Sounding Sentences,...She has a new pair of shoes...,...She has a new pear to chew...
Set 18: Similar Sounding Sentences,...He saw the sign...,...He saw the sine...
Set 18: Similar Sounding Sentences,...Which one do you want...,...Witch one do you want...
Set 18: Similar Sounding Sentences,...I ate the whole thing...,...I ate the hole thing...
Set 18: Similar Sounding Sentences,...He will be right back...,...He will write back...
Set 18: Similar Sounding Sentences,...She needs to find her son...,...She needs to find her sun...
Set 18: Similar Sounding Sentences,...The knight is brave...,...The night is late...
Set 18: Similar Sounding Sentences,...They went to the sea...,...They went to see...
Set 19: Complex Sentences,...The old car with the red roof needs to be repaired...,...The old car with the bad roof needs to be replaced...
Set 19: Complex Sentences,...She hopes to finish her important project by next Tuesday...,...She hopes to find her important project by next Tuesday...
Set 19: Complex Sentences,...The very large brown dog is sleeping on the green rug...,...The very lazy brown dog is sleeping on the green rug...
Set 19: Complex Sentences,...He was surprised that the team won the final game...,...He was certain that the team won the final game...
Set 19: Complex Sentences,...Can you remember to buy milk and bread at the store...,...Can you forget to buy milk and bread at the store...
Set 19: Complex Sentences,...The book on the top shelf is about ancient history...,...The book on the hot shelf is about ancient history...
Set 19: Complex Sentences,...They decided to walk to the park instead of driving...,...They decided to run to the park instead of driving...
Set 19: Complex Sentences,...The weather report said it would be sunny and warm...,...The weather report said it would be funny and warm...
Set 19: Complex Sentences,...He thought the noise was coming from the room upstairs...,...He thought the choice was coming from the room upstairs...
Set 19: Complex Sentences,...She found her lost keys under the pillow on the couch...,...She found her lost keys over the pillow on the couch...
Set 20: Abstract Concepts,...He felt a sense of peace...,...He felt a sense of peas...
Set 20: Abstract Concepts,...She had a brilliant idea...,...She had a brilliant idol...
Set 20: Abstract Concepts,...They showed great courage...,...They showed great carriage...
Set 20: Abstract Concepts,...It was a moment of pure joy...,...It was a moment of poor joy...
Set 20: Abstract Concepts,...He has a lot of ambition...,...He has a lot of ammunition...
Set 20: Abstract Concepts,...She values her freedom...,...She values her free dome...
Set 20: Abstract Concepts,...The story had a deep meaning...,...The story had a cheap meaning...
Set 20: Abstract Concepts,...He showed great wisdom...,...He showed great width...
Set 20: Abstract Concepts,...That is a common belief...,...That is a common relief...
Set 20: Abstract Concepts,...She has a strong sense of justice...,...She has a strong sense of just this...