scenario_id,title,description,difficulty,tier,category,noise_type
scn_grocery_checkout,Grocery Checkout,Paying for groceries at the supermarket,2,free,shopping,grocery_store_ambient
scn_pharmacy_pickup,Pharmacy Pickup,Picking up a prescription at the pharmacy,3,free,medical,medical_office_ambient
scn_restaurant_order,Restaurant Ordering,Ordering food at a casual restaurant,2,free,dining,restaurant_moderate
scn_bank_transaction,Bank Transaction,Making a deposit at the bank teller,3,standard,errands,speech_shaped_steady
scn_bus_directions,Bus Directions,Asking the driver for route information,3,standard,transit,transit_ambient
scn_appointment_checkin,Appointment Check-in,Checking in at a medical office,3,free,medical,medical_office_ambient
scn_hair_salon,Hair Salon Visit,Describing the haircut you want,2,standard,services,babble_8talker_cafeteria
scn_dry_cleaner,Dry Cleaner Pickup,Picking up clothes from the dry cleaner,2,standard,errands,speech_shaped_steady
scn_post_office,Post Office Visit,Mailing a package at the post office,3,standard,errands,speech_shaped_steady
scn_gym_signup,Gym Membership,Signing up for a gym membership,3,standard,services,babble_8talker_cafeteria
scn_car_service,Car Service,Dropping off car for maintenance,3,premium,services,speech_shaped_steady
scn_hotel_checkin,Hotel Check-in,Checking into a hotel room,2,standard,travel,speech_shaped_steady
scn_library_help,Library Assistance,Asking for help finding a book,2,free,services,speech_shaped_modulated
scn_bakery_order,Bakery Order,Ordering pastries at a bakery,2,standard,shopping,restaurant_moderate
scn_tech_support,Tech Support Call,Getting help with a device issue,4,premium,phone,speech_shaped_steady
scn_insurance_call,Insurance Inquiry,Calling about insurance coverage,4,premium,phone,speech_shaped_steady
scn_flight_checkin,Airport Check-in,Checking in at the airport counter,3,standard,travel,babble_8talker_cafeteria
scn_car_rental,Car Rental Pickup,Picking up a rental car,3,premium,travel,speech_shaped_steady
scn_movie_tickets,Movie Tickets,Buying tickets at the theater,2,standard,entertainment,babble_8talker_cafeteria
scn_deli_counter,Deli Counter,Ordering at a deli counter,2,free,shopping,grocery_store_ambient
scn_pet_store,Pet Store Help,Getting advice at a pet store,2,standard,shopping,speech_shaped_steady
scn_fitness_class,Fitness Class,Signing up for a fitness class,3,standard,services,babble_8talker_cafeteria
scn_auto_parts,Auto Parts Store,Finding the right car part,3,premium,shopping,speech_shaped_steady
scn_tax_prep,Tax Preparation,Meeting with a tax preparer,4,premium,professional,speech_shaped_modulated
scn_real_estate,Real Estate Showing,Viewing an apartment with an agent,3,premium,professional,speech_shaped_modulated
scn_job_interview,Job Interview,Being interviewed for a position,4,premium,professional,speech_shaped_modulated
scn_parent_teacher,Parent-Teacher Meeting,Meeting with your child's teacher,3,premium,professional,speech_shaped_modulated
scn_roadside_assist,Roadside Assistance,Calling for car help,3,premium,phone,speech_shaped_steady
scn_dentist_checkin,Dentist Check-in,Arriving for a dental appointment,2,standard,medical,medical_office_ambient
scn_eye_doctor,Eye Doctor Visit,Getting an eye exam,3,standard,medical,medical_office_ambient
scn_drive_through,Drive-Through Order,Ordering food at a drive-through window,3,standard,dining,transit_ambient
scn_vet_visit,Veterinarian Visit,Taking a pet to the vet,3,standard,medical,medical_office_ambient
scn_clothing_return,Clothing Store Return,Returning an item at a clothing store,2,standard,shopping,babble_8talker_cafeteria
scn_coffee_order,Coffee Shop Order,Ordering a drink at a busy coffee shop,2,free,dining,babble_8talker_cafeteria
scn_farmers_market,Farmer's Market,Buying produce at an outdoor market,2,free,shopping,babble_8talker_cafeteria
scn_phone_banking,Phone Banking Call,Checking an account balance by phone,4,premium,phone,speech_shaped_steady
scn_neighbor_chat,Neighbor Conversation,Chatting with a neighbor outside,2,free,social,speech_shaped_modulated
scn_gas_station,Gas Station,Paying inside at a gas station,2,standard,errands,speech_shaped_steady
scn_schedule_appt,Scheduling an Appointment,Calling to schedule a doctor appointment,3,standard,phone,speech_shaped_steady
scn_package_delivery,Package Delivery,Receiving a delivery at home,2,free,errands,speech_shaped_modulated
scn_bank_teller,Bank Teller Wire Transfer,Sending a wire transfer at the bank,3,standard,errands,speech_shaped_steady
scn_post_office_passport,Post Office Passport,Applying for a passport at the post office,3,standard,errands,speech_shaped_steady
scn_gas_station_repair,Gas Station Car Trouble,Asking for help when your car won't start at a gas station,3,standard,errands,transit_ambient
scn_car_mechanic,Car Mechanic Estimate,Getting a repair estimate from the mechanic,3,premium,services,speech_shaped_steady
scn_pet_store_fish,Pet Store Fish Tank,Setting up a fish tank with pet store guidance,2,standard,shopping,speech_shaped_steady
scn_shoe_store,Shoe Store Fitting,Getting fitted for new running shoes,2,standard,shopping,babble_8talker_cafeteria
scn_tech_support_printer,Tech Support Printer,Calling tech support about a printer issue,4,premium,phone,speech_shaped_steady
scn_home_repair,Home Repair Estimate,Getting an estimate from a home repair contractor,3,premium,services,speech_shaped_modulated
scn_eye_exam_glasses,Eye Exam Glasses Fitting,Choosing new glasses frames after an eye exam,2,standard,medical,medical_office_ambient
scn_physical_therapy,Physical Therapy Session,Starting a new physical training program,3,standard,medical,medical_office_ambient
scn_blood_test,Blood Test Lab Visit,Checking in for a blood draw at the lab,3,standard,medical,medical_office_ambient
scn_hearing_aid_fitting,Hearing Device Fitting,Getting fitted for a new hearing device,3,premium,medical,medical_office_ambient
scn_nutrition_consult,Nutrition Consultation,Meeting with a nutritionist about dietary goals,3,premium,medical,speech_shaped_modulated
scn_urgent_care,Urgent Care Visit,Visiting urgent care for a sudden illness,3,standard,medical,medical_office_ambient
scn_mental_health_intake,Wellness Intake Appointment,Completing an intake form at a wellness office,4,premium,medical,speech_shaped_modulated
scn_flu_shot,Flu Shot at Pharmacy,Getting a flu shot at the pharmacy counter,2,free,medical,grocery_store_ambient
scn_job_interview_tech,Technical Job Interview,Interviewing for a technology position,4,premium,professional,speech_shaped_modulated
scn_team_meeting,Team Meeting Update,Giving a project update at a team meeting,3,standard,professional,babble_8talker_cafeteria
scn_client_call,Client Phone Call,Discussing a project timeline with a client,4,premium,phone,speech_shaped_steady
scn_office_tour,New Employee Office Tour,Being shown around the office on your first day,2,free,professional,babble_8talker_cafeteria
scn_break_room_chat,Break Room Conversation,Chatting with coworkers during a break,2,free,social,babble_8talker_cafeteria
scn_performance_review,Performance Review Meeting,Discussing annual performance goals with a manager,4,premium,professional,speech_shaped_modulated
scn_training_session,Workplace Training Session,Attending a new software training session,3,standard,professional,babble_8talker_cafeteria
scn_coworker_lunch,Coworker Lunch Outing,Having lunch with coworkers at a restaurant,2,standard,dining,restaurant_moderate
scn_book_club,Book Club Meeting,Discussing a novel at a monthly book club,3,standard,social,babble_8talker_cafeteria
scn_neighborhood_bbq,Neighborhood Barbecue,Chatting with neighbors at a summer barbecue,2,free,social,babble_8talker_cafeteria
scn_birthday_party,Birthday Party Conversation,Talking with guests at a birthday celebration,2,free,social,babble_8talker_cafeteria
scn_volunteer_orientation,Volunteer Orientation,Signing up and learning about volunteer duties,3,standard,social,speech_shaped_modulated
scn_sports_game,Sports Game Outing,Chatting with a friend at a live sports event,3,standard,entertainment,babble_8talker_cafeteria
scn_movie_night,Movie Night Planning,Deciding what to watch with friends at home,2,free,social,speech_shaped_modulated
scn_community_garden,Community Garden Plot,Signing up for a plot at a community garden,2,free,social,speech_shaped_modulated
scn_dance_class,Dance Class Registration,Signing up for a beginner dance class,2,standard,services,babble_8talker_cafeteria
scn_hotel_checkin_late,Late Hotel Check-in,Arriving late to check in at a hotel,3,standard,travel,speech_shaped_steady
scn_car_rental_return,Car Rental Return,Returning a rental car and settling the bill,3,standard,travel,transit_ambient
scn_train_station,Train Station Tickets,Buying tickets at the train station counter,3,standard,travel,transit_ambient
scn_border_crossing,Border Crossing Checkpoint,Answering questions at a border checkpoint,4,premium,travel,transit_ambient
scn_tour_guide,Tour Guide Excursion,Joining a guided walking tour of a city,3,standard,travel,babble_8talker_cafeteria
scn_cruise_ship,Cruise Ship Embarkation,Boarding a cruise ship and finding your cabin,3,premium,travel,babble_8talker_cafeteria
scn_bus_tour,Bus Tour Sightseeing,Talking with the guide on a sightseeing bus tour,3,standard,travel,transit_ambient
scn_roadside_assist_tow,Roadside Tow Truck Arrival,Coordinating with a tow truck driver on the roadside,3,premium,travel,transit_ambient
