id,category,prompt_text_en,response_text_en,target_keyword_en,target_phoneme,acoustic_foil_en,semantic_foil_en,plausible_foil_en,difficulty,tier,source_row_id,source_language,target_language,translation_status,prompt_text_es,response_text_es,target_keyword_es,acoustic_foil_es,semantic_foil_es,plausible_foil_es
conv_appt_001,appointments,What time is the appointment?,It's at three thirty.,three thirty,/θ/,four fifteen,on Tuesday,not sure yet,2,free,conv_appt_001,en,es,machine_translated,¿A qué hora es la cita?,Son las tres y media.,tres y media,cuatro quince,el martes,no estoy seguro todavía
conv_appt_002,appointments,When should I arrive?,Please come fifteen minutes early.,fifteen minutes,/f/,fifty minutes early,after lunch,whenever you can,2,free,conv_appt_002,en,es,machine_translated,¿Cuándo debo llegar?,Por favor venga quince minutos antes.,quince minutos,cincuenta minutos antes,después del almuerzo,siempre que puedas
conv_appt_003,appointments,Which doctor am I seeing?,You're seeing Doctor Miller.,Doctor Miller,/m/,Doctor Wheeler,the specialist,the one on call,2,free,conv_appt_003,en,es,machine_translated,¿A qué médico estoy viendo?,Estás viendo al Doctor Miller.,doctor molinero,Doctor Wheeler,el especialista,el que está de guardia
conv_appt_004,appointments,What floor is the office on?,It's on the third floor.,third floor,/θ/,first floor,the main building,take the elevator,2,free,conv_appt_004,en,es,machine_translated,¿En qué piso está la oficina?,Está en el tercer piso.,tercer piso,primer piso,el edificio principal,tomar el ascensor
conv_appt_005,appointments,Do I need to bring anything?,Bring your insurance card.,insurance card,/ʃ/,insurance form,all your paperwork,just yourself,2,free,conv_appt_005,en,es,machine_translated,¿Necesito traer algo?,Traiga su tarjeta de seguro.,tarjeta de seguro,formulario de seguro,todo tu papeleo,solo tu mismo
conv_appt_006,appointments,How long will it take?,About forty-five minutes.,forty-five,/f/,twenty-five minutes,the whole morning,depends on results,3,free,conv_appt_006,en,es,machine_translated,¿Cuánto tiempo tardará?,Unos cuarenta y cinco minutos.,Cuarenta y cinco,veinticinco minutos,toda la mañana,depende de los resultados
conv_appt_007,appointments,Can I reschedule?,"Yes, call us tomorrow morning.",tomorrow morning,/m/,tomorrow evening,as soon as possible,whenever works,2,free,conv_appt_007,en,es,machine_translated,¿Puedo reprogramar?,"Sí, llámanos mañana por la mañana.",mañana por la mañana,noche de mañana,lo antes posible,siempre que funcione
conv_appt_008,appointments,Is parking available?,"Yes, use the garage on Main Street.",Main Street,/s/,First Street,behind the building,there's a lot nearby,3,free,conv_appt_008,en,es,machine_translated,¿Hay estacionamiento disponible?,"Sí, usa el garaje de Main Street.",Calle principal,Primera calle,detrás del edificio,hay mucho cerca
conv_appt_009,appointments,What's the copay?,Twenty-five dollars.,Twenty-five,/t/,Thirty-five dollars,depends on insurance,we'll bill you later,2,free,conv_appt_009,en,es,machine_translated,¿Cuál es el copago?,Veinticinco dólares.,Veinticinco,treinta y cinco dolares,depende del seguro,te facturaremos más tarde
conv_appt_010,appointments,Is the doctor running late?,About fifteen minutes behind.,fifteen minutes,/f/,fifty minutes behind,quite a while,just a little,2,free,conv_appt_010,en,es,machine_translated,¿El médico llega tarde?,Unos quince minutos atrás.,quince minutos,cincuenta minutos detrás,un buen rato,solo un poco
conv_dir_001,directions,Where is the pharmacy?,It's on the corner of Fifth and Oak.,Fifth and Oak,/f/,Sixth and Oak,down the street,I'm not sure,2,free,conv_dir_001,en,es,machine_translated,¿Dónde está la farmacia?,Está en la esquina de Fifth y Oak.,Quinto y Roble,Sexto y Roble,por la calle,No estoy seguro
conv_dir_002,directions,How do I get to the elevator?,Go straight and turn left at the end.,turn left,/l/,turn right,keep going straight,it's near the entrance,2,free,conv_dir_002,en,es,machine_translated,¿Cómo llego al ascensor?,Siga recto y al final gire a la izquierda.,Gire a la izquierda,Gire a la derecha,sigue recto,esta cerca de la entrada
conv_dir_003,directions,Which bus goes downtown?,Take the number twelve.,number twelve,/t/,number twenty,the blue line,any of them work,2,free,conv_dir_003,en,es,machine_translated,¿Qué autobús va al centro?,Tome el número doce.,numero doce,numero veinte,la linea azul,cualquiera de ellos funciona
conv_dir_004,directions,Is the hospital nearby?,It's about three blocks north.,three blocks,/θ/,two blocks north,pretty close by,take a taxi,2,free,conv_dir_004,en,es,machine_translated,¿Está el hospital cerca?,Está como tres cuadras al norte.,tres cuadras,dos cuadras al norte,bastante cerca,tomar un taxi
conv_dir_005,directions,Where can I park?,There's a lot behind the building.,behind the building,/b/,beside the building,on the street,anywhere you find,2,free,conv_dir_005,en,es,machine_translated,¿Dónde puedo estacionar?,Hay mucho detrás del edificio.,detrás del edificio,al lado del edificio,en la calle,en cualquier lugar que encuentres
conv_dir_006,directions,Which exit should I take?,Take exit forty-two.,exit forty-two,/f/,exit thirty-two,the next one,keep driving,2,free,conv_dir_006,en,es,machine_translated,¿Qué salida debo tomar?,Tome la salida cuarenta y dos.,salida cuarenta y dos,salida treinta y dos,el siguiente,sigue conduciendo
conv_dir_007,directions,Is it far from here?,About ten minutes by car.,ten minutes,/t/,twenty minutes,walking distance,depends on traffic,2,free,conv_dir_007,en,es,machine_translated,¿Está lejos de aquí?,Unos diez minutos en coche.,diez minutos,veinte minutos,distancia a pie,depende del trafico
conv_dir_008,directions,Where's the nearest ATM?,Inside the grocery store on Pine.,Pine,/p/,Vine,around the corner,I'll show you,3,free,conv_dir_008,en,es,machine_translated,¿Dónde está el cajero automático más cercano?,Dentro de la tienda de comestibles en Pine.,Pino,Enredadera,a la vuelta de la esquina,te mostraré
conv_dir_009,directions,How do I find your office?,Take the stairs to the second floor.,second floor,/s/,seventh floor,down the hall,follow the signs,2,free,conv_dir_009,en,es,machine_translated,¿Cómo encuentro su oficina?,Sube las escaleras hasta el segundo piso.,segundo piso,séptimo piso,por el pasillo,sigue las señales
conv_dir_010,directions,What's the address?,Four fifteen Main Street.,Four fifteen,/f/,Five fifteen,on the corner,I'll text it to you,2,free,conv_dir_010,en,es,machine_translated,¿Cuál es la dirección?,Calle Principal Cuatro Quince.,cuatro quince,cinco quince,sobre rincón,Te lo enviaré por mensaje de texto
conv_phone_001,phone_calls,Who called while I was out?,Your sister called twice.,sister,/s/,mister,a family member,someone important,2,free,conv_phone_001,en,es,machine_translated,¿Quién llamó mientras estaba fuera?,Tu hermana llamó dos veces.,hermana,señor,un miembro de la familia,alguien importante
conv_phone_002,phone_calls,Did they leave a message?,"Yes, call back before five.",before five,/f/,before nine,as soon as possible,when you get a chance,2,free,conv_phone_002,en,es,machine_translated,¿Dejaron un mensaje?,"Sí, vuelve a llamar antes de las cinco.",antes de las cinco,antes de las nueve,lo antes posible,cuando tengas la oportunidad
conv_phone_003,phone_calls,What was the callback number?,"Five five five, three four two one.",three four two one,/θ/,three five two one,the main office,I wrote it down,3,free,conv_phone_003,en,es,machine_translated,¿Cuál fue el número de devolución de llamada?,"Cinco cinco cinco, tres cuatro dos uno.",tres cuatro dos uno,tres cinco dos uno,la oficina principal,lo escribi
conv_phone_004,phone_calls,Was it urgent?,They said it's quite important.,quite important,/k/,not important,fairly urgent,just checking in,2,free,conv_phone_004,en,es,machine_translated,¿Era urgente?,Dijeron que es bastante importante.,bastante importante,no es importante,bastante urgente,solo registrandome
conv_phone_005,phone_calls,When did they call?,Around two thirty this afternoon.,two thirty,/θ/,two thirteen,earlier today,a while ago,2,free,conv_phone_005,en,es,machine_translated,¿Cuándo llamaron?,Alrededor de las dos y media de esta tarde.,dos y media,dos trece,hoy más temprano,hace un tiempo
conv_phone_006,phone_calls,Did the doctor's office call?,"Yes, your results are ready.",results are ready,/r/,prescription is ready,appointment confirmed,they'll call again,2,free,conv_phone_006,en,es,machine_translated,¿Llamó el consultorio del médico?,"Sí, tus resultados están listos.",los resultados están listos,la prescripción está lista,cita confirmada,volverán a llamar
conv_phone_007,phone_calls,Any messages from work?,The meeting moved to Thursday.,Thursday,/θ/,Tuesday,next week,they didn't say when,2,free,conv_phone_007,en,es,machine_translated,¿Algún mensaje del trabajo?,La reunión se trasladó al jueves.,Jueves,Martes,la próxima semana,no dijeron cuando
conv_phone_008,phone_calls,Who was on the voicemail?,Someone from the insurance company.,insurance company,/ʃ/,finance company,the bank,didn't recognize them,3,free,conv_phone_008,en,es,machine_translated,¿Quién estaba en el correo de voz?,Alguien de la compañía de seguros.,compañía aseguradora,compañía financiera,el banco,no los reconocí
conv_phone_009,phone_calls,What time should I call back?,Before six o'clock.,six o'clock,/s/,seven o'clock,business hours,whenever you can,2,free,conv_phone_009,en,es,machine_translated,¿A qué hora debo volver a llamar?,Antes de las seis.,seis en punto,siete en punto,horario comercial,siempre que puedas
conv_phone_010,phone_calls,Did they say what it was about?,Regarding your claim from last month.,last month,/l/,this month,the recent paperwork,not specifically,3,free,conv_phone_010,en,es,machine_translated,¿Dijeron de qué se trataba?,Respecto a su reclamo del mes pasado.,mes pasado,este mes,el papeleo reciente,no específicamente
conv_shop_001,shopping,How much does this cost?,That's thirty-nine ninety-nine.,thirty-nine,/θ/,twenty-nine ninety-nine,about forty dollars,let me check,2,free,conv_shop_001,en,es,machine_translated,¿Cuánto cuesta esto?,Eso es treinta y nueve noventa y nueve.,treinta y nueve,veintinueve noventa y nueve,unos cuarenta dolares,permítame verificar
conv_shop_002,shopping,Do you have this in blue?,"Yes, in the back on the left.",back on the left,/l/,back on the right,over there,I can check,2,free,conv_shop_002,en,es,machine_translated,¿Tienes esto en azul?,"Sí, atrás a la izquierda.",de vuelta a la izquierda,de vuelta a la derecha,allí,puedo comprobar
conv_shop_003,shopping,Is this on sale?,Twenty percent off today only.,Twenty percent,/t/,Thirty percent,for members only,it's full price,2,free,conv_shop_003,en,es,machine_translated,¿Está esto en oferta?,Veinte por ciento de descuento solo hoy.,Veinte por ciento,treinta por ciento,solo para miembros,es precio completo
conv_shop_004,shopping,When does the store close?,At nine thirty tonight.,nine thirty,/θ/,nine fifteen,in about an hour,soon,2,free,conv_shop_004,en,es,machine_translated,¿Cuándo cierra la tienda?,A las nueve y media de esta noche.,nueve y media,nueve quince,en aproximadamente una hora,pronto
conv_shop_005,shopping,Can I return this?,"Yes, within thirty days with receipt.",thirty days,/θ/,sixty days,two weeks,depends on the item,2,free,conv_shop_005,en,es,machine_translated,¿Puedo devolver esto?,"Sí, dentro de los treinta días siguientes a la recepción.",treinta dias,sesenta dias,dos semanas,depende del artículo
conv_shop_006,shopping,Do you take credit cards?,We accept all major cards.,all major cards,/k/,cash only please,most credit cards,depends on the amount,2,free,conv_shop_006,en,es,machine_translated,¿Aceptas tarjetas de crédito?,Aceptamos todas las tarjetas principales.,todas las cartas principales,solo efectivo por favor,la mayoría de las tarjetas de crédito,depende de la cantidad
conv_shop_007,shopping,Where are the batteries?,"Aisle seven, near the front.",Aisle seven,/s/,Aisle eleven,in electronics,I can show you,2,free,conv_shop_007,en,es,machine_translated,¿Dónde están las baterías?,"Pasillo siete, cerca del frente.",Pasillo siete,Pasillo once,en electronica,puedo mostrarte
conv_shop_008,shopping,Is there a fitting room?,"Yes, around the corner on your right.",on your right,/r/,on your left,straight ahead,just past checkout,2,free,conv_shop_008,en,es,machine_translated,¿Hay un probador?,"Sí, doblando la esquina a tu derecha.",a tu derecha,a tu izquierda,todo derecho,acaba de pasar la caja
conv_shop_009,shopping,Do you have a smaller size?,Let me check in the stockroom.,in the stockroom,/s/,in the showroom,I'll look,we might be out,3,free,conv_shop_009,en,es,machine_translated,¿Tienes un tamaño más pequeño?,Déjame comprobarlo en el almacén.,en el almacén,en la sala de exposición,voy a mirar,podríamos estar fuera
conv_shop_010,shopping,What's your return policy?,Full refund within fourteen days.,fourteen days,/f/,forty days,two weeks,store credit only,2,free,conv_shop_010,en,es,machine_translated,¿Cuál es su política de devolución?,Reembolso completo en un plazo de catorce días.,catorce dias,cuarenta dias,dos semanas,crédito de tienda solamente
conv_social_001,social,How was your weekend?,It was really relaxing.,really relaxing,/r/,pretty exhausting,quite busy,same as always,1,free,conv_social_001,en,es,machine_translated,¿Cómo estuvo tu fin de semana?,Fue realmente relajante.,realmente relajante,bastante agotador,bastante ocupado,igual que siempre
conv_social_002,social,Have you eaten lunch yet?,"Yes, about an hour ago.",an hour ago,/r/,half an hour ago,not yet,just finished,1,free,conv_social_002,en,es,machine_translated,¿Ya almorzaste?,"Sí, hace aproximadamente una hora.",hace una hora,hace media hora,aún no,recién terminado
conv_social_003,social,Are you coming to the party?,"Yes, I'll be there around seven.",around seven,/s/,around eleven,in the evening,hopefully,1,free,conv_social_003,en,es,machine_translated,¿Vienes a la fiesta?,"Sí, estaré allí alrededor de las siete.",alrededor de las siete,alrededor de las once,por la tarde,con un poco de suerte
conv_social_004,social,Did you hear the news?,"Yes, isn't it surprising?",surprising,/s/,concerning,wonderful news,I haven't yet,2,free,conv_social_004,en,es,machine_translated,¿Escuchaste la noticia?,"Sí, ¿no es sorprendente?",sorprendente,sobre,maravillosas noticias,todavía no lo he hecho
conv_social_005,social,What are you doing this weekend?,Visiting my parents upstate.,parents upstate,/p/,grandparents upstate,staying home,not sure yet,2,free,conv_social_005,en,es,machine_translated,¿Qué vas a hacer este fin de semana?,Visitando a mis padres en el norte del estado.,padres al norte del estado,abuelos al norte del estado,quedarse en casa,no estoy seguro todavía
conv_social_006,social,How's your family doing?,"Everyone's doing well, thanks.",doing well,/w/,doing fine,same as usual,been better,1,free,conv_social_006,en,es,machine_translated,¿Cómo está tu familia?,"Todos están bien, gracias.",haciendo bien,haciendo bien,lo mismo de siempre,estado mejor
conv_social_007,social,Would you like some coffee?,"Yes please, with cream.",with cream,/k/,with sugar,black is fine,just water,1,free,conv_social_007,en,es,machine_translated,¿Quieres un poco de café?,"Si por favor, con crema.",con crema,con azúcar,el negro está bien,solo agua
conv_social_008,social,What do you think of the weather?,It's supposed to rain later.,rain later,/r/,snow later,clear up soon,hard to tell,2,free,conv_social_008,en,es,machine_translated,¿Qué opinas del clima?,Se supone que lloverá más tarde.,llueve más tarde,nieve más tarde,aclarar pronto,difícil de decir
conv_social_009,social,Are you feeling better?,"Much better, thank you for asking.",much better,/b/,a little better,same as yesterday,still recovering,1,free,conv_social_009,en,es,machine_translated,¿Te sientes mejor?,"Mucho mejor, gracias por preguntar.",mucho mejor,un poco mejor,igual que ayer,todavía recuperándose
conv_social_010,social,Can you help me with something?,"Of course, what do you need?",what do you need,/n/,what can I do,sure thing,I'm kind of busy,1,free,conv_social_010,en,es,machine_translated,¿Puedes ayudarme con algo?,"Por supuesto, ¿qué necesitas?",Qué necesitas,Qué puedo hacer,cosa segura,estoy un poco ocupado
conv_social_011,social,Where did you go on vacation?,We went to the beach in Florida.,beach in Florida,/f/,mountains in Colorado,stayed local,haven't gone yet,2,free,conv_social_011,en,es,machine_translated,¿Adónde fuiste de vacaciones?,Fuimos a la playa en Florida.,playa en florida,montañas en colorado,se mantuvo local,no he ido todavía
conv_social_012,social,What time is dinner?,We're eating at six thirty.,six thirty,/s/,seven thirty,around sunset,whenever you're ready,2,free,conv_social_012,en,es,machine_translated,¿A qué hora es la cena?,Vamos a comer a las seis y media.,seis y media,siete y media,alrededor del atardecer,cuando estés listo
conv_social_013,social,Did you watch the game last night?,"Yes, the final score was three to one.",three to one,/θ/,two to one,a close game,I missed it,2,free,conv_social_013,en,es,machine_translated,¿Viste el partido anoche?,"Sí, el marcador final fue de tres a uno.",tres a uno,dos a uno,un juego cerrado,me lo perdí
conv_social_014,social,How long have you lived here?,About fifteen years now.,fifteen years,/f/,fifty years,most of my life,not very long,2,free,conv_social_014,en,es,machine_translated,¿Cuánto tiempo llevas viviendo aquí?,Hace unos quince años.,quince años,cincuenta años,la mayor parte de mi vida,no muy largo
conv_social_015,social,What do you do for work?,I'm a software engineer.,software engineer,/s/,systems engineer,I work in tech,this and that,2,free,conv_social_015,en,es,machine_translated,¿Qué haces para trabajar?,Soy ingeniero de software.,ingeniero de software,ingeniero de sistemas,yo trabajo en tecnología,esto y aquello
conv_social_016,social,Is this seat taken?,"No, please sit down.",please sit down,/s/,it's reserved,go ahead,someone's coming,1,free,conv_social_016,en,es,machine_translated,¿Está libre este asiento?,"No, por favor siéntate.",por favor siéntate,esta reservado,adelante,alguien viene
conv_social_017,social,Nice to meet you!,The pleasure is mine.,pleasure is mine,/ʒ/,nice meeting you,same here,likewise,1,free,conv_social_017,en,es,machine_translated,¡Encantado de conocerlo!,El placer es mío.,el placer es mio,encantado de conocerte,aquí igual,asimismo
conv_social_018,social,What time did you get here?,Around eight this morning.,eight this morning,/θ/,late this morning,just now,a while ago,2,free,conv_social_018,en,es,machine_translated,¿A qué hora llegaste aquí?,Alrededor de las ocho de esta mañana.,ocho esta mañana,tarde esta mañana,En este momento,hace un tiempo
conv_social_019,social,Are you from around here?,"No, I moved from Boston.",moved from Boston,/b/,grew up in Austin,just visiting,been here forever,2,free,conv_social_019,en,es,machine_translated,¿Eres de por aquí?,"No, me mudé de Boston.",se mudó de boston,creció en austin,solo visitando,estado aquí para siempre
conv_social_020,social,What are your plans tonight?,Meeting friends for dinner at eight.,dinner at eight,/t/,dinner at nine,staying in,no specific plans,2,free,conv_social_020,en,es,machine_translated,¿Cuáles son tus planes esta noche?,Quedarse con amigos para cenar a las ocho.,cena a las ocho,cena a las nueve,quedarse en,sin planes específicos
conv_med_001,medical,What did the doctor say?,Take two pills twice daily.,two pills twice daily,/t/,three pills twice daily,rest for a week,call back tomorrow,3,free,conv_med_001,en,es,machine_translated,¿Qué dijo el médico?,Tome dos pastillas dos veces al día.,dos pastillas dos veces al día,tres pastillas dos veces al día,descansar por una semana,vuelve a llamar mañana
conv_med_002,medical,When should I take the medicine?,With food in the morning.,with food,/f/,before food,at bedtime,whenever you remember,2,free,conv_med_002,en,es,machine_translated,¿Cuándo debo tomar el medicamento?,Con comida por la mañana.,con comida,antes de la comida,a la hora de dormir,siempre que lo recuerdes
conv_med_003,medical,How are you feeling today?,Much better than yesterday.,better than yesterday,/b/,worse than yesterday,about the same,hard to say,2,free,conv_med_003,en,es,machine_translated,¿Cómo te sientes hoy?,Mucho mejor que ayer.,mejor que ayer,peor que ayer,casi lo mismo,difícil de decir
conv_med_004,medical,Did you get your test results?,"Yes, everything looks normal.",looks normal,/n/,looks abnormal,still waiting,need more tests,2,free,conv_med_004,en,es,machine_translated,¿Recibiste los resultados de tu prueba?,"Sí, todo parece normal.",parece normal,parece anormal,todavía esperando,necesito más pruebas
conv_med_005,medical,What symptoms are you having?,Mostly headaches and fatigue.,headaches and fatigue,/f/,fever and chills,just tired,nothing specific,2,free,conv_med_005,en,es,machine_translated,¿Qué síntomas tienes?,Principalmente dolores de cabeza y fatiga.,dolores de cabeza y fatiga,fiebre y escalofríos,simplemente cansado,nada especifico
conv_med_006,medical,Should I take any precautions?,Avoid heavy lifting for two weeks.,two weeks,/w/,three weeks,a few days,until you feel better,3,free,conv_med_006,en,es,machine_translated,¿Debo tomar alguna precaución?,Evite levantar objetos pesados ​​durante dos semanas.,dos semanas,tres semanas,algunos días,hasta que te sientas mejor
conv_med_007,medical,Is the procedure painful?,You might feel slight pressure.,slight pressure,/p/,sharp pain,nothing at all,mild discomfort,3,free,conv_med_007,en,es,machine_translated,¿Es doloroso el procedimiento?,Es posible que sienta una ligera presión.,ligera presión,dolor agudo,nada en absoluto,malestar leve
conv_med_008,medical,When is my next appointment?,In three weeks on a Wednesday.,three weeks on Wednesday,/θ/,two weeks on Thursday,next month,we'll call you,3,free,conv_med_008,en,es,machine_translated,¿Cuándo es mi próxima cita?,En tres semanas un miércoles.,tres semanas el miércoles,dos semanas el jueves,mes próximo,te llamaremos
conv_med_009,medical,Can I drive after the procedure?,"No, have someone else drive you.",someone else drive,/s/,you can drive yourself,wait an hour,depends how you feel,3,free,conv_med_009,en,es,machine_translated,¿Puedo conducir después del procedimiento?,"No, haz que otra persona te lleve.",alguien más conduce,puedes conducir tu mismo,espera una hora,depende como te sientas
conv_med_010,medical,How many refills do I have?,You have three refills left.,three refills,/θ/,two refills left,none remaining,call to check,2,free,conv_med_010,en,es,machine_translated,¿Cuántas recargas tengo?,Te quedan tres recargas.,tres recargas,quedan dos recargas,no queda ninguno,llama para comprobar
conv_med_011,medical,What's my blood pressure?,One twenty over eighty.,one twenty over eighty,/t/,one thirty over ninety,perfectly normal,a little high,3,free,conv_med_011,en,es,machine_translated,¿Cuál es mi presión arterial?,Uno veinte sobre ochenta.,uno veinte sobre ochenta,uno treinta sobre noventa,perfectamente normal,un poco alto
conv_med_012,medical,Are there any side effects?,Possible drowsiness and dry mouth.,drowsiness,/z/,dizziness,nothing major,mild nausea,3,free,conv_med_012,en,es,machine_translated,¿Hay algún efecto secundario?,Posible somnolencia y sequedad de boca.,modorra,mareo,nada importante,náuseas leves
conv_med_013,medical,When will the stitches come out?,In about seven to ten days.,seven to ten days,/s/,four to five days,at your follow-up,when they dissolve,3,free,conv_med_013,en,es,machine_translated,¿Cuándo saldrán los puntos?,En unos siete a diez días.,siete a diez días,cuatro a cinco días,en tu seguimiento,cuando se disuelven
conv_med_014,medical,Should I continue my other medications?,"Yes, except the blood thinner.",except the blood thinner,/θ/,except the pain medicine,all of them,check the list,3,free,conv_med_014,en,es,machine_translated,¿Debo continuar con mis otros medicamentos?,"Sí, excepto el anticoagulante.",excepto el anticoagulante,excepto el analgésico,todos,revisa la lista
conv_med_015,medical,How long until I see improvement?,Usually within one to two weeks.,one to two weeks,/w/,three to four weeks,a few days,varies by person,3,free,conv_med_015,en,es,machine_translated,¿Cuánto tiempo hasta que vea una mejora?,Generalmente dentro de una o dos semanas.,una o dos semanas,tres a cuatro semanas,algunos días,varía según la persona
conv_med_016,medical,Can I eat before the test?,No food or drink after midnight.,after midnight,/m/,after breakfast,light meal is fine,only water,2,free,conv_med_016,en,es,machine_translated,¿Puedo comer antes de la prueba?,No comer ni beber después de medianoche.,después de medianoche,despues del desayuno,la comida ligera está bien,solo agua
conv_med_017,medical,Where should I apply the cream?,On the affected area twice daily.,affected area,/f/,infected area,the whole body,as needed,3,free,conv_med_017,en,es,machine_translated,¿Dónde debo aplicar la crema?,En la zona afectada dos veces al día.,zona afectada,área infectada,todo el cuerpo,según sea necesario
conv_med_018,medical,Is this medicine safe during pregnancy?,Consult your OB before taking it.,consult your OB,/k/,definitely safe,avoid completely,only in third trimester,3,free,conv_med_018,en,es,machine_translated,¿Es seguro este medicamento durante el embarazo?,Consulte a su obstetra antes de tomarlo.,consulte a su obstetra,definitivamente seguro,evitar completamente,solo en el tercer trimestre
conv_med_019,medical,What if I miss a dose?,Take it as soon as you remember.,as soon as you remember,/s/,skip it entirely,double the next dose,wait until tomorrow,2,free,conv_med_019,en,es,machine_translated,¿Qué pasa si me olvido de una dosis?,Tómalo tan pronto como lo recuerdes.,tan pronto como lo recuerdes,omítelo por completo,duplicar la siguiente dosis,espera hasta mañana
